User,Emp_type,Gate,Gender,Department,Country,Function,Job_ control_point,Scale,Promotions,Intern_Asig,Age,Seniority,Dependents,Job Code,Comparatio,Status
HBB8926,Regular employee,2,Male,G,Malaysia,Operations Engineering,H2-ESG,21,2,No,46,18,4,PS11,0.871084074,Active
HBB8903,Regular employee,4,Male,D,Thailand,Operations,I2-ESG,24,2,No,47,18,2,FF05,0.572232252,Active
H229982,Regular employee,2,Male,A,Thailand,Operations Engineering,H3-ESG,22,1,Yes,40,1,0,L030,0.988712877,Active
H184563,Regular employee,4,Male,K,Brunei,Operations Engineering,H3-ESG,22,2,Yes,49,4,5,BD13,0.984896804,Active
HBBC436,Regular employee,6,Male,D,Malaysia,Operations,K2-ESG,30,2,No,39,17,1,R452,1.274751929,Active
H128839,Expat-ShortTerm/Dev,4,Male,C,Thailand,Operations,I2-ESG,24,5,Yes,43,7,0,FF26,0.671976695,Active
HBBE118,Regular employee,2,Male,D,Malaysia,Operations,E2-ESG,11,2,No,40,17,4,CC06,0.989932768,Active
HBBE122,Regular employee,2,Male,G,Malaysia,Operations,D2-ESG,8,2,No,38,17,1,PS08,0.792534314,Active
HBBE125,Regular employee,2,Male,D,Malaysia,Operations,F2-ESG,15,2,No,40,17,4,CC07,0.904757707,Active
HBBE121,Regular employee,1,Male,G,Malaysia,Operations,C2-ESG,5,1,Yes,48,17,5,PS04,1.316371413,Active
HB50077,Regular employee,3,Male,D,Brunei,Sales/Marketing,I2-ESG,24,3,Yes,44,1,3,R504,0.887299762,Active
H150788,CommuterOut-Halco,2,Male,B,Vietnam,Operations,E2-ESG,11,1,Yes,47,6,0,ZZ09,0.532330972,Active
H226430,Regular employee,2,Male,B,India,Operations,F2-ESG,15,2,Yes,43,1,3,ZZ10,1.273454757,Active
HBBF847,Regular employee,2,Male,I,Thailand,Operations Engineering,VPE-ESG,19,2,Yes,47,16,4,DV01,1,Active
HBBF953,Regular employee,3,Male,I,India,Sales/Marketing,J1-ESG,26,2,No,42,16,2,K059,1.137050129,Active
HAM2527,Expat-ShortTerm/Dev,2,Male,D,Vietnam,Operations,E2-ESG,11,1,Yes,41,16,3,CC06,1.349468544,Active
H227647,Regular employee,2,Male,A,Thailand,Operations Engineering,H3-ESG,22,2,No,38,2,2,L030,0.723130187,Active
HZ15477,Regular employee,1,Male,D,Malaysia,Operations,C2-ESG,5,1,No,38,16,3,CC04,1.269325168,Active
HX11407,Regular employee,2,Male,C,Thailand,Operations,D2-ESG,8,4,Yes,41,16,1,PN08,1.375000385,Active
HX12998,Regular employee,2,Male,B,Japan,Operations Engineering,G3-ESG,19,2,Yes,37,15,0,K942,0.889702757,Active
H226305,Regular employee,2,Male,A,Thailand,Operations Engineering,H3-ESG,22,2,Yes,44,2,3,L030,0.775490475,Active
HZ11202,Regular employee,2,Male,G,Malaysia,Operations,D2-ESG,8,2,Yes,38,15,1,PS08,0.787930617,Active
HX15402,Regular employee,2,Male,I,Malaysia,Operations Engineering,VPE-ESG,19,1,Yes,47,15,4,DV01,1,Active
HX16180,Regular employee,3,Male,I,Southeast Asia Area Suppt,Sales/Marketing,J3-ESG,28,3,No,42,15,3,R442,1.153289108,Active
H226959,Regular employee,2,Male,A,Thailand,Operations Engineering,LVPE-ESG,20,3,Yes,40,2,3,LC31,1,Active
HX19750,Expat-Halco,4,Male,C,Malaysia,Operations,I2-ESG,24,2,Yes,39,15,3,BC207,0.345121199,Active
HB68423,Regular employee,2,Male,I,Malaysia,Operations Engineering,VPE-ESG,19,2,Yes,42,9,3,DV02,1,Active
HX22402,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,3,No,38,14,1,DV02,1,Active
H132070,Regular employee,1,Male,B,Japan,Operations,C2-ESG,5,2,Yes,35,7,0,ZZ04,1.035723292,Active
HX22685,Regular employee,3,Male,D,Malaysia,Operations,H2-ESG,21,2,No,39,14,3,CC11,1.253256593,Active
HX23458,Regular employee,2,Male,C,Thailand,Operations,D2-ESG,8,2,Yes,42,14,2,PC08,1.37500026,Active
HX24530,CommuterOut-Halco,2,Male,C,Brunei,Operations,H2-ESG,21,1,Yes,45,14,0,PH11,0.974342319,Active
H129804,CommuterOut-Halco,2,Male,C,Malaysia,Operations,D2-ESG,8,2,Yes,40,7,0,PC08,0.828056521,Active
HX25616,Expat-Halco,6,Male,B,Southeast Asia Area Suppt,Operations,K2-ESG,30,4,Yes,36,1,3,R452,0.712343852,Active
HX26308,Regular employee,5,Male,D,Brunei,Operations,I3-ESG,25,1,No,40,14,1,R454,1.08080109,Active
HZ13516,Regular employee,1,Male,G,Malaysia,Operations,C2-ESG,5,2,No,39,14,3,PS04,1.15569488,Active
HZ13518,Regular employee,1,Male,G,Malaysia,Operations,C1-ESG,4,1,Yes,38,14,3,PS03,1.125588841,Active
HX27414,Regular employee,2,Male,I,Malaysia,Operations Engineering,VPE-ESG,19,1,Yes,45,14,4,DV01,1,Active
HX28219,Regular employee,2,Male,G,Brunei,Operations,D2-ESG,8,3,Yes,36,14,3,PS08,1.040365742,Active
HX30114,Regular employee,3,Male,I,India,Sales/Marketing,J1-ESG,26,2,No,37,14,1,K740,1.2588866,Active
H225085,Regular employee,2,Male,C,Thailand,Operations,F2-ESG,15,2,Yes,37,2,3,PC10,1.333885889,Active
H177762,Expat-ShortTerm/Dev,2,Male,I,Myanmar,Operations Engineering,VPE-ESG,19,1,Yes,48,4,1,MV03,1,Active
HX30779,Regular employee,2,Male,I,Malaysia,Operations Engineering,VPE-ESG,19,5,Yes,38,14,0,MV01,1,Active
HB45154,Expat-Halco,4,Male,G,Brunei,Operations,I2-ESG,24,2,Yes,54,10,4,FF05,1.224395857,Active
H199753,CommuterOut-Halco,2,Male,A,Malaysia,Operations Engineering,H3-ESG,22,1,Yes,38,1,0,L030,0.581578201,Active
HBB5055,Expat-Halco,5,Male,B,Southeast Asia Area Suppt,Operations,I3-ESG,25,4,Yes,38,16,3,R454,0.058289489,Active
HX31856,Regular employee,1,Male,G,Malaysia,Operations,C1-ESG,4,1,Yes,45,14,3,PS03,1.259772468,Active
HX31858,Regular employee,2,Male,G,Malaysia,Operations,E2-ESG,11,2,Yes,40,14,0,PS09,0.981050606,Active
HX31915,Regular employee,1,Male,B,Japan,Operations,C1-ESG,4,2,Yes,47,14,1,ZZ03,1.078964186,Active
HBL2866,Regular employee,2,Male,H,Malaysia,Consulting,J2-ESG,27,1,Yes,47,4,4,LG135,1.184889268,Active
HX32543,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,1,No,41,14,1,DV01,1,Active
HX32541,Regular employee,3,Male,D,Brunei,Operations Engineering,H3-ESG,22,3,Yes,33,14,2,K949,0.655736338,Active
HX33150,Regular employee,2,Male,C,Thailand,Operations,D2-ESG,8,2,Yes,38,14,3,PC08,1.072998144,Active
HX33196,Regular employee,2,Male,C,Thailand,Operations,E2-ESG,11,5,Yes,34,1,0,PC09,1.051738788,Active
HBL5538,Regular employee,2,Male,H,Malaysia,Consulting,J2-ESG,27,1,Yes,42,14,4,LG135,1.329916538,Active
HZ14981,Regular employee,1,Female,I,Thailand,Operations Engineering,VPE-ESG,19,2,Yes,37,14,1,MV04,1,Active
H207128,CommuterOut-Halco,2,Male,B,Brunei,Operations,F2-ESG,15,1,Yes,44,6,0,ZZ10,1.066104823,Active
HX35773,Regular employee,1,Male,B,Japan,Operations,C1-ESG,4,2,No,40,13,0,ZZ03,1.061005395,Active
HX36214,Expat-ShortTerm/Dev,2,Male,B,Malaysia,Operations,H3-ESG,22,1,Yes,46,13,3,ZZ11,1.393939483,Active
HX36867,Regular employee,2,Male,I,Thailand,Operations Engineering,VPE-ESG,19,3,Yes,53,13,1,DV03,1,Active
HX37123,Regular employee,2,Male,I,Thailand,Operations Engineering,VPE-ESG,19,4,Yes,37,13,2,DV02,1,Active
HZ15822,Regular employee,2,Male,G,Malaysia,Operations,E2-ESG,11,4,No,36,13,2,PS09,0.792342802,Active
HX43883,CommuterOut-Halco,2,Male,K,Malaysia,Operations,VPE-ESG,19,1,Yes,38,13,0,BD10,1,Active
HX43882,Regular employee,3,Male,D,Vietnam,Operations Engineering,H3-ESG,22,2,No,36,13,0,K949,1.378683575,Active
HX42894,Regular employee,2,Male,C,Thailand,Operations,D2-ESG,8,4,Yes,40,14,3,PN08,1.181675987,Active
H234194,CommuterOut-Halco,2,Male,A,Thailand,Operations Engineering,LVPE-ESG,20,1,Yes,44,1,2,L031,1,Active
HX44990,Regular employee,3,Male,D,Brunei,Sales/Marketing,J1-ESG,26,2,Yes,36,13,0,R505,0.810348255,Active
HX47313,Regular employee,2,Male,I,Thailand,Operations Engineering,VPE-ESG,19,1,Yes,45,13,3,MV03,1,Active
HB10407,Regular employee,2,Male,I,Malaysia,Operations Engineering,VPE-ESG,19,2,No,40,13,1,MV02,1,Active
H101149,Regular employee,2,Male,G,India,Operations,D2-ESG,8,2,No,51,8,4,PF05,0.927269937,Active
HB11704,Regular employee,3,Male,D,Vietnam,Operations Engineering,H3-ESG,22,2,Yes,43,12,3,K949,1.012549558,Active
HB12623,Regular employee,2,Male,I,Malaysia,Operations Engineering,VPE-ESG,19,2,Yes,41,12,0,MV01,1,Active
HB12625,Regular employee,1,Male,D,Malaysia,Operations,C2-ESG,5,1,No,38,13,2,CC04,1.301377852,Active
H117555,Regular employee,1,Male,H,Malaysia,Consulting,G3-ESG,19,2,Yes,36,7,4,LG137,1.144652979,Active
HB14660,Regular employee,2,Male,D,Thailand,Operations,E2-ESG,11,2,No,36,12,1,CC06,1.31085801,Active
HB14862,Regular employee,1,Male,G,India,Operations,C2-ESG,5,2,No,56,12,1,PF04,1.078508671,Active
HB14911,Regular employee,2,Male,D,Brunei,Operations,E2-ESG,11,1,Yes,34,12,0,CW06,1.196838133,Active
H199668,Regular employee,2,Male,B,India,Operations,F2-ESG,15,2,No,39,3,1,ZZ10,1.443877591,Active
HB18377,Regular employee,2,Male,B,India,Operations,H3-ESG,22,3,No,39,12,1,ZZ11,0.775890525,Active
HB18878,CommuterOut-Halco,3,Male,D,Malaysia,Operations,H2-ESG,21,3,Yes,43,12,1,CC11,0.960552562,Active
H242836,Regular employee,2,Male,H,Malaysia,Sales/Marketing,J2-ESG,27,2,No,41,1,3,LG953,1.205077548,Active
HB22077,Regular employee,2,Male,I,Thailand,Operations Engineering,VPE-ESG,19,4,No,42,12,3,DV03,1,Active
HB22605,Regular employee,3,Male,G,Malaysia,Sales/Marketing,I2-ESG,24,4,Yes,35,12,3,R504,0.963933949,Active
HB23386,Regular employee,2,Male,I,Thailand,Operations Engineering,VPE-ESG,19,2,No,39,12,3,MV02,1,Active
HB23699,Regular employee,2,Male,I,Thailand,Operations Engineering,VPE-ESG,19,4,Yes,35,12,3,DV03,1,Active
HB25258,Expat-Halco,2,Male,L,Southeast Asia Area Suppt,Operations Engineering,H3-ESG,22,1,Yes,34,12,1,T070,0.534576282,Active
HB25705,Regular employee,3,Female,A,Thailand,Sales/Marketing,I3-ESG,25,3,Yes,40,12,0,L041,0.74196891,Active
H237068,Regular employee,2,Male,I,Malaysia,Operations Engineering,VPE-ESG,19,3,Yes,35,1,4,MV03,1,Active
HB26885,Regular employee,1,Male,G,Malaysia,Operations,C1-ESG,4,1,No,38,12,5,PS03,1.044548544,Active
HB27152,Regular employee,3,Male,D,Brunei,Operations Engineering,H3-ESG,22,2,Yes,34,12,2,K949,0.690328202,Active
HB29899,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,2,No,36,11,0,DV03,1,Active
HB30150,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,3,No,43,11,1,MV02,1,Active
HB30250,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,1,No,52,11,1,DV01,1,Active
HB36777,Regular employee,2,Male,D,Brunei,Operations,D2-ESG,8,1,Yes,38,11,0,CW05,1.245912831,Active
H238049,Regular employee,4,Male,G,India,Operations,I2-ESG,24,1,No,43,1,2,PF14,1.200528865,Active
HB38772,Regular employee,6,Male,I,Southeast Asia Area Suppt,Operations,K2-ESG,30,6,No,39,11,1,R452,1.554237949,Active
H116170,Regular employee,2,Male,B,Thailand,Operations,E2-ESG,11,2,Yes,33,7,0,ZZ09,1.877448849,Active
HB40508,Regular employee,2,Male,G,India,Operations,F2-ESG,15,3,No,36,11,1,PF10,0.806618496,Active
H156110,CommuterOut-Halco,4,Male,C,Brunei,Operations,I2-ESG,24,5,Yes,46,6,0,FF05,0.797168611,Active
HB41426,Regular employee,2,Male,C,India,Operations,D2-ESG,8,2,Yes,49,0,3,PC05,0.7742435,Active
H237343,Regular employee,2,Male,G,India,Operations,E2-ESG,11,1,No,37,1,2,PF09,0.974743147,Active
HB45411,Regular employee,2,Male,I,Thailand,Operations Engineering,VPE-ESG,19,2,No,35,10,3,MV03,1,Active
HB46236,Regular employee,5,Female,I,Thailand,Operations,J1-ESG,26,5,No,37,10,0,K714,1.046054161,Active
HB48182,Regular employee,2,Male,G,India,Operations,E2-ESG,11,4,No,34,10,1,PF09,1.018763806,Active
HB49959,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,3,No,34,10,0,MV02,1,Active
HB50261,CommuterOut-Halco,2,Male,C,Malaysia,Operations,E2-ESG,11,1,Yes,38,10,0,PC09,0.530183054,Active
H247750,Regular employee,1,Male,B,Vietnam,Operations,C1-ESG,4,3,No,39,0,0,ZZ03,1.066780054,Active
HB53120,Regular employee,2,Male,D,Brunei,Operations,D2-ESG,8,1,No,45,10,0,CW05,1.254641877,Active
HB53386,Regular employee,2,Male,D,Vietnam,Operations,D2-ESG,8,2,Yes,41,10,4,CC05,2.919982843,Active
HB54586,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,3,No,51,10,2,DV02,1,Active
HB59712,Regular employee,3,Male,I,India,Sales/Marketing,J1-ESG,26,2,No,36,10,3,K059,1.267092649,Active
HB60886,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,2,No,44,10,3,DV02,1,Active
HB61156,Expat-Halco,3,Male,B,Malaysia,Operations Engineering,H3-ESG,22,4,Yes,32,10,2,K941,0.430506342,Active
H235877,Regular employee,2,Male,D,Malaysia,Operations,F2-ESG,15,1,Yes,44,1,6,CW07,1.341290761,Active
HB63676,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,3,No,37,9,1,DV02,1,Active
HB64614,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,3,No,38,9,2,DV02,1,Active
HB64534,Regular employee,2,Male,D,Brunei,Operations,D2-ESG,8,2,Yes,35,9,0,CC05,0.764035355,Active
HB64819,Regular employee,2,Male,G,India,Operations,D2-ESG,8,3,No,37,9,1,PF05,0.7993541,Active
HB65102,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,2,No,44,9,2,DV01,1,Active
H228632,Regular employee,1,Male,D,Malaysia,Operations,C1-ESG,4,2,No,32,0,1,CS03,0.852917634,Active
H229807,Regular employee,2,Male,G,India,Operations,F2-ESG,15,1,No,40,2,3,PF10,1.213320648,Active
HB66379,Regular employee,1,Male,I,Thailand,Operations Engineering,VPE-ESG,19,3,No,34,9,3,DV05,1,Active
HB66380,Regular employee,1,Male,I,Thailand,Operations Engineering,VPE-ESG,19,3,Yes,35,9,1,DV05,1,Active
HB66748,Regular employee,2,Male,B,Vietnam,Operations,E2-ESG,11,3,Yes,34,9,3,ZZ09,1.327179575,Active
HB66921,Regular employee,2,Male,C,Brunei,Operations Engineering,G3-ESG,19,4,No,35,9,0,K918,0.689349424,Active
HB67554,Regular employee,2,Male,I,Thailand,Operations Engineering,VPE-ESG,19,3,No,39,9,3,DV02,1,Active
HB69467,Expat-ShortTerm/Dev,4,Male,J,Brunei,Operations,H2-ESG,21,4,Yes,32,9,5,TT11,0.64491476,Active
HB70082,Regular employee,1,Male,B,Vietnam,Operations,C1-ESG,4,2,Yes,35,9,3,ZZ03,1.16894905,Active
H175774,Regular employee,2,Male,B,Malaysia,Operations,F2-ESG,15,2,Yes,42,5,3,ZZ10,1.342251646,Active
H177398,CommuterOut-Halco,2,Male,C,Brunei,Operations,D2-ESG,8,1,Yes,32,4,0,PC08,0.83623621,Active
HB71531,Regular employee,5,Male,D,Malaysia,Operations,I3-ESG,25,2,No,40,9,2,R454,0.965244343,Active
HB71882,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,4,No,31,9,2,MV02,1,Active
HB71896,Regular employee,2,Male,K,India,Operations,VPE-ESG,19,3,No,31,9,0,BD10,1,Active
HB72102,Regular employee,1,Male,G,Malaysia,Operations,C1-ESG,4,3,Yes,30,9,2,PS03,1.041189361,Active
HB73424,Regular employee,1,Male,G,Thailand,Operations,C1-ESG,4,4,Yes,37,0,0,PS03,1.354582109,Active
HB74515,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,3,No,34,9,2,MV03,1,Active
HB77224,Regular employee,2,Male,K,Malaysia,Operations,VPE-ESG,19,2,No,35,9,2,BD10,1,Active
HB78256,Regular employee,2,Male,I,Malaysia,Operations Engineering,VPE-ESG,19,2,Yes,41,9,4,MV03,1,Active
HB78517,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,3,Yes,48,7,3,DV02,1,Active
HB80939,Regular employee,1,Male,G,Malaysia,Operations,C1-ESG,4,3,Yes,39,9,3,PS03,1.077248094,Active
H233891,Regular employee,2,Male,A,Thailand,Operations Engineering,LVPE-ESG,20,1,No,32,1,1,LC32,1,Active
H177911,Regular employee,1,Male,C,Brunei,Operations Engineering,F3-ESG,16,5,Yes,32,4,0,K919,0.688581197,Active
HB83416,Regular employee,3,Female,D,Malaysia,Operations Engineering,H3-ESG,22,3,No,32,9,2,K949,0.666728483,Active
HB84046,Regular employee,3,Male,D,Malaysia,Operations,H2-ESG,21,3,Yes,41,9,5,CC11,1.302491622,Active
HB83933,Regular employee,3,Male,B,India,Operations Engineering,H3-ESG,22,3,Yes,31,0,0,K941,0.944681821,Active
HB84862,Regular employee,2,Male,D,Vietnam,Operations Engineering,G3-ESG,19,3,Yes,32,9,3,K950,0.589906904,Active
HB88629,Expat-ShortTerm/Dev,2,Male,D,Malaysia,Operations Engineering,G3-ESG,19,2,Yes,31,8,0,K950,0.70243307,Active
HB88990,Regular employee,2,Male,G,India,Operations,D2-ESG,8,4,No,33,8,3,PF05,0.9529246,Active
HB88991,Regular employee,2,Male,G,India,Operations,D2-ESG,8,3,No,44,8,3,PF05,0.68007875,Active
HB88992,Regular employee,1,Male,G,India,Operations,C1-ESG,4,2,Yes,55,8,2,PF03,0.85344504,Active
HB89082,Regular employee,2,Male,D,Brunei,Operations Engineering,G3-ESG,19,2,No,34,8,3,K950,0.683700929,Active
HB89206,CommuterOut-Halco,2,Male,C,Brunei,Operations,E2-ESG,11,6,Yes,30,6,0,PC09,1.180059513,Active
HB89813,Regular employee,2,Male,C,India,Operations,E2-ESG,11,4,No,39,8,2,PC09,0.94329982,Active
HB89828,Regular employee,2,Male,B,Vietnam,Operations,D2-ESG,8,3,Yes,30,8,0,ZZ08,1.311525242,Active
HB91914,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,3,No,49,8,2,DV03,1,Active
HB92604,Regular employee,2,Male,D,Malaysia,Operations,D2-ESG,8,2,No,34,8,4,CC05,0.804834595,Active
H240491,Regular employee,1,Male,D,Malaysia,Operations,C2-ESG,5,3,Yes,30,1,0,CW04,1.010911035,Active
H100012,Regular employee,2,Male,D,Malaysia,Operations,F2-ESG,15,3,Yes,36,8,1,CW07,0.652829324,Active
H100974,Regular employee,2,Female,I,Philippines,Operations Engineering,VPE-ESG,19,2,Yes,36,8,0,MV02,1,Active
H228161,Regular employee,2,Male,A,Thailand,Operations Engineering,LVPE-ESG,20,2,Yes,31,2,1,L032,1,Active
H101539,Regular employee,4,Male,J,India,Operations,H2-ESG,21,3,Yes,34,7,2,SW11,1.198157301,Active
H103177,Regular employee,2,Female,I,Thailand,Operations Engineering,VPE-ESG,19,2,No,41,8,0,MV03,1,Active
H233890,Regular employee,2,Male,A,Thailand,Operations Engineering,LVPE-ESG,20,1,No,31,1,2,LC32,1,Active
H104605,Regular employee,2,Male,C,Malaysia,Operations,H2-ESG,21,2,Yes,56,8,2,PC11,1.312159406,Active
H104616,Regular employee,2,Male,G,Malaysia,Operations,D2-ESG,8,4,Yes,39,8,4,PS08,0.655549379,Active
H229722,Regular employee,2,Male,A,Thailand,Operations Engineering,LVPE-ESG,20,2,Yes,34,2,0,LC32,1,Active
H106049,Regular employee,2,Male,N,Singapore,Operations Engineering,G3-ESG,19,1,Yes,38,8,4,PP14,1.317079838,Active
H106061,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,2,No,34,8,3,MV03,1,Active
H238484,Regular employee,2,Male,A,Thailand,Operations Engineering,LVPE-ESG,20,3,No,32,1,0,L032,1,Active
H106886,Regular employee,2,Male,B,Vietnam,Operations,D2-ESG,8,4,Yes,33,8,1,ZZ08,2.6573272,Active
H236274,Regular employee,2,Male,B,Vietnam,Operations Engineering,G3-ESG,19,2,Yes,32,1,0,K942,0.544807816,Active
H247450,CommuterOut-Halco,2,Male,C,Brunei,Operations,H2-ESG,21,4,Yes,34,0,3,PC11,0.909386164,Active
H235876,Regular employee,3,Male,D,Malaysia,Operations,H2-ESG,21,1,No,35,1,3,CC11,1.349912575,Active
H240314,Regular employee,2,Female,D,Malaysia,Operations Engineering,G3-ESG,19,2,No,32,1,0,K950,0.687606337,Active
H108419,Regular employee,1,Male,G,Malaysia,Operations,C1-ESG,4,3,Yes,30,8,3,PS03,0.931805955,Active
H230796,Regular employee,5,Male,C,India,Operations,I3-ESG,25,1,No,30,2,0,R454,1.198892526,Active
H108959,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,3,No,29,8,0,MV03,1,Active
H109156,Regular employee,1,Male,G,Malaysia,Operations,C1-ESG,4,3,Yes,37,8,4,PS03,0.958548203,Active
H109905,CommuterOut-Halco,2,Male,N,South Korea,Operations,F2-ESG,15,1,Yes,41,7,0,PP10,1.104635208,Active
H110406,Regular employee,3,Male,D,Malaysia,Operations,H2-ESG,21,2,Yes,34,8,0,CC11,1.148579338,Active
H111043,Regular employee,3,Male,D,Malaysia,Operations,H2-ESG,21,2,Yes,36,8,0,CC11,1.137694886,Active
H227170,Regular employee,2,Male,B,Thailand,Operations,D2-ESG,8,3,No,30,2,3,ZZ08,1.272606469,Active
H111308,Regular employee,3,Male,I,India,Sales/Marketing,J1-ESG,26,4,No,35,8,0,K059,0.879589197,Active
H111304,Regular employee,1,Male,B,Thailand,Operations,C1-ESG,4,2,No,38,8,1,ZZ03,0.895949275,Active
H111543,Regular employee,2,Male,G,India,Operations,D2-ESG,8,2,No,39,8,3,PF05,0.6738011,Active
H217710,Regular employee,2,Male,I,India,Operations Engineering,VPE-ESG,19,2,No,37,2,3,MV03,1,Active
H112038,Regular employee,4,Male,J,Brunei,Operations,H2-ESG,21,3,Yes,31,8,0,SW11,0.660983607,Active
H112047,Expat-Halco,2,Male,C,Brunei,Operations Engineering,I3-ESG,25,2,Yes,38,8,3,K916,1.035344078,Active
H112054,Regular employee,1,Male,G,India,Operations,C1-ESG,4,3,Yes,45,8,2,PF03,1.054474065,Active
H237638,Regular employee,2,Male,C,India,Operations Engineering,G3-ESG,19,1,No,33,1,2,K918,0.623730483,Active
H112909,Regular employee,2,Male,C,India,Operations,D2-ESG,8,3,No,33,8,2,PC05,0.780936172,Active
H113280,Regular employee,2,Male,D,Malaysia,Operations Engineering,G3-ESG,19,2,No,31,8,3,K950,0.872933875,Active
